Topic,English,Mandarin,Pinyin,URL
Ask for directions,"Excuse me, madam. Could you tell me where the post office is?",对不起，女士，请问邮局在哪里？,duìbúqǐ nǚshì qǐngwènyóujúzàinǎlǐ,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,It's just around the corner.,转弯就是。,zhuǎiwānjiùshì,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,"Excuse me, how can I get to the bus station?",对不起，汽车站怎么走？,duìbúqǐ qìchēzhànzěnmazǒu,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,You can take the bus and get off at the second stop.,你可以坐公共汽车第二站下。,nǐkěyǐzuògōnggōngqìchēdìèrzhànxià,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Excuse me. Where is No.5 Street?,对不起，第五大街在哪儿？,duìbúqǐ dìwǔdàjiēzàinǎér,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Go straight ahead and turn left at the second crossing.,对不起，你能告诉我怎么去胡先生的餐馆吗？,duìbúqǐ nǐnénggàosùwǒzěnmaqùhúxiānshēngdecānguǎnmá,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Excuse me. Can you tell me how to get to Mr. Hu's restaurant?,对不起，你能告诉我怎么去胡先生的餐馆吗？,duìbúqǐ nǐnénggàosùwǒzěnmaqùhúxiānshēngdecānguǎnmá,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Go on for about 100 meters. It's on your left side. You can't miss it.,往前走约1米，在你左手边，你不会错过的。,wǎngqiánzǒuyāo mǐ zàinǐzuǒshǒubiān nǐbúhuìcuòguōde,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Which one is Mr. Jame's office?,哪间是詹姆司先生的办公室？,nǎjiānshìzhānmǔsīxiānshēngdebàngōngshì,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,It's Room 201 on the second floor.,二楼21房间。,èrlóu  fángjiān,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Can I use the elevator?,我能用电梯吗？,wǒnéngyòngdiàntīmá,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,"Sorry, it's broken. You have to use the stairs.",对不起，它坏了，你只能走楼梯了。,duìbúqǐ tāhuàile nǐzhīnéngzǒulóutīle,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Where are the stairs?,楼梯在哪里呢？,lóutīzàinǎlǐnà,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Go along the corridor and it's on your right side.,沿着走廊走，在你右手边。,yánzhāozǒulángzǒu zàinǐyòushǒubiān,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for directions,Thank you for directions.,感谢你为我指路。,gǎnxiènǐwéiwǒzhīlù,https://www.chinese-tools.com/phrasebook/22-directions.html
Ask for help,Would you please open the door for me?,请你帮忙开个门好吗？,qǐngnǐbāngmángkāigěménhǎomá,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,May I ask you a question?,我能问你个问题吗？,wǒnéngwènnǐgěwèntímá,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Please give me a hand.,请帮我个忙。,qǐngbāngwǒgěmáng,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Could you do me a favor?,能请你帮个忙吗？,néngqǐngnǐbānggěmángmá,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Would you help me remove the refrigerator?,能帮忙移一下冰箱吗？,néngbāngmángyíyīxiàbīngxiāngmá,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,"Get me my coat, please.",请帮我拿下外套。,qǐngbāngwǒnáxiàwàitào,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,"Make me a cup of coffee, will you?",给我冲杯咖啡，好吗？,gěiwǒchōngbēigāfēi hǎomá,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Call me tomorrow if you have time.,明天要有时间就给我打个电话。,míngtiānyāoyǒushíjiānjiùgěiwǒdágědiànhuà,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Could you tell me where I can find these books?,您能告诉我在哪儿能找到这些书吗？,nínnénggàosùwǒzàinǎérnéngzhǎodàozhèxiēshūmá,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Certainly.,当然了。,dāngránle,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Witch pleasure.,很高兴。,hěngāoxīng,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,I'm sorry. I'm engaged now.,对不起，我现在正忙着。,duìbúqǐ wǒxiànzàizhēngmángzhāo,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,"I'm glad to, but I'm afraid I don't have the time.",我很乐意，但我恐怕没时间。,wǒhěnlèyì dànwǒkǒngpàméishíjiān,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Would you mind closing the window for me?,能帮我关一下窗户吗？（你介意关下窗户吗？）,néngbāngwǒguānyīxiàchuānghùmá  nǐjièyìguānxiàchuānghùmá,https://www.chinese-tools.com/phrasebook/21-help.html
Ask for help,Not at all.,当然可以。（当然不介意）,dāngránkěyǐ  dāngránbújièyì,https://www.chinese-tools.com/phrasebook/21-help.html
Measure and Compare,What's the height of the building?,这座楼有多高？,zhèzuòlóuyǒuduōgāo,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,How much does the elephant weight?,这个大象有多重？,zhègědàxiàngyǒuduōchóng,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,What's the color of your new dress?,你的新衣服是什么颜色的？,nǐdexīnyīfúshìshénmayánsède,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,What's the size of your shoes?,你的鞋多大尺寸？,nǐdexiéduōdàchěcùn,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,My brother is twice as tall as your sister.,我弟弟比你妹妹高一倍。,wǒdìdìbǐnǐmèimèigāoyībèi,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,My grandma is 40 years older than me.,我祖母比我大4岁。,wǒzǔmǔbǐwǒdàluesuì,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,This river is one third as long as that river.,这条河只有那条河的三分之一长。,zhètiáohézhīyǒunātiáohédesānfēnzhīyīcháng,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,What's the shape of your balloon?,你的气球是什么形状？,nǐdeqìqiúshìshénmaxíngzhuàng,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,How wide is this bridge?,这座桥有多宽？,zhèzuòqiáoyǒuduōkuān,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,How thick is the ice here?,这儿的冰有多厚？,zhèérdebīngyǒuduōhòu,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,This metal is harder than that one.,这种金属比那种硬。,zhèzhǒngjīnshǔbǐnāzhǒngyìng,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,He can run as fast as Jim.,他跑的和吉姆一样快。,tāpáodehéjímǔyīyàngkuài,https://www.chinese-tools.com/phrasebook/20-compare.html
Measure and Compare,Kate is smarter than I.,凯特比我聪明。,kǎitèbǐwǒcōngmíng,https://www.chinese-tools.com/phrasebook/20-compare.html
